"fulladdr","DETLOC","Name","Address","City","County","State","Zip","Circuit","AOR","Docket","Type","Type.Detailed","ICE.Funded","Male.Female","Levels.A.B.C.D","Capacity","Current.FY.Utilization","Population.Count","Date.of.Last.Use","Date.of.First.Use","FY18.Max.Population.Count","FY18.ADP","FY17.ADP","FY16.ADP","FY15.ADP","FY14.ADP","FY13.ADP","FY12.ADP","FY11.ADP","FY10.ADP","FY09.ADP","X2016.11.01","X2016.12.01","X2017.01.01","X2017.02.01","X2017.03.01","X2017.04.01","X2017.05.01","X2017.06.01","X2017.07.01","X2017.08.01","X2017.09.01","X2017.10.01","X2017.11.01","FY18.ALOS","FY17.ALOS","FY16.ALOS","FY15.ALOS","FY18.Facility.Bookins","FY17.Facility.Bookins","FY16.Facility.Bookins","FY15.Facility.Bookins","FY18.Initial.Bookins","FY17.Initial.Bookins","FY16.Initial.Bookins","FY15.Initial.Bookins","FY18.Initial.Bookin.ADP","FY17.Initial.Bookin.ADP","FY16.Initial.Bookin.ADP","FY15.Initial.Bookin.ADP","FY18.Non.Criminal","FY18.Criminal","FY17.Non.Criminal","FY17.Criminal","FY16.Non.Criminal","FY16.Criminal","FY15.Non.Criminal","FY15.Criminal","Level.A","Level.B","Level.C","Level.D","Male.Crim","Male.Non.Crim","Female.Crim","Female.Non.Crim","ICE.Threat.Level.1","ICE.Threat.Level.2","ICE.Threat.Level.3","No.ICE.Threat.Level","Mandatory","Non.Mandatory","Medical.Provider.Onsite.","Provider.Type","Facility.Operator","Facility.Owner","Best.Known.Contract.Initiation.Date","Best.Known.Contract.Expiration.Date","Guaranteed.Minimum","Per.Diem.Rate.Detailed","ICE.Telephone.Services","Authorization.Status","Authorizing.Authority","Over.Under.72","Contractually.Obligated.Inspection.Standard","PREA.Standard.2.11.Status","Current.Inspection.Frequency","Last.Inspection.Type","Last.Inspection.Standard","Last.Inspection.Pre.Occ.","Last.Inspection.Rating...Final","Last.Inspection.Rating...Recommended","Last.Inspection.Date","Second.to.Last.Inspection.Type","Second.to.Last.Inspection.Standard","Second.to.Last.Inspection.Pre.Occ.","Second.to.Last.Rating","Second.to.Last.Inspection.Date","Next.Inspection.Date","Next.Inspection.Standard","Next.Inspection.Type","Next.Insp.Pre.Occ.","CY17.Rating","CY16.Rating","CY15.RATING","CY14.RATING","CY13.RATING","CY12.RATING","CY11.RATING","CY10.RATING","EMDD.Notes","EMDD.USE","ACA","NCCHC","JCHCO","DSM.Assigned.","DSM.Assignment.Type","FY18.Calendar.Days.in.Use","FY18.Possible.Days","FY18...of.Days.in.Use","FY18.Total.Mandays","FY17.Calendar.Days.in.Use","FY17...of.Days.in.Use","FY17.Total.Mandays","FY17.Max.Pop.Count","street","zip","city","state","lat","lon","score","prenum","number","precision","street1","street2"
"100 MONTOYA ROAD BERNALILLO NM 87004","SANDONM","SANDOVAL COUNTY DETENTION CENTER","100 MONTOYA ROAD","BERNALILLO","SANDOVAL","NM","87004","10","ELP","ELP","IGSA","IGSA","Yes","Female/Male","A, B, C, D","AS NEEDED","","0","07.03.2012","25.03.1999","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","YES","","COUNTY","","","","","$67.00","","NOT INSPECTED","DMCP","Under 72","","","N/A","Regular","NDS","No","Superior","Acceptable","06.05.2008","Regular","NDS","No","Superior","02.05.2007","","N/A","N/A","No","","","","","","","","","","No","NO","NO","NO","No","","0","400","0.00%","0","0","0.00%","0","0","Montoya Rd","87004","Bernalillo","NM",35.321415,-106.569051,0.945,"","100","range",NA,NA
"100 N. LAMAR ST. FT. WORTH TX 76196","TARRATX","TARRANT COUNTY JAIL","100 N. LAMAR ST.","FT. WORTH","TARRANT","TX","76196","5","DAL","DAL","IGSA","IGSA","Yes","Female/Male","A, B, C, D","AS NEEDED","","0","19.02.2004","04.01.1996","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","COUNTY","","","","","","","NOT INSPECTED","DMCP","","","","N/A","N/A","","No","","","","N/A","","No","","","","N/A","N/A","No","","","","","","","","","","No","NO","NO","NO","No","","0","400","0.00%","0","0","0.00%","0","0","N Lamar St","76102",NA,NA,32.755614,-97.336014,0.805,"","100","range",NA,NA
"100 N. STATE LINE TEXARKANA TX 77501","BOWCOTX","BOWIE COUNTY JAIL","100 N. STATE LINE","TEXARKANA","HARRIS","TX","77501","5","DAL","DAL","IGSA","IGSA","Yes","Female/Male","A, B, C, D","AS NEEDED","","0","05.10.2008","28.03.2007","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","CEC","","","","","b)(4)","","NOT INSPECTED","DMCP","Over 72","","","N/A","Regular","NDS","No","Superior","Acceptable","16.10.2008","Regular","NDS","No","Superior","03.10.2007","","N/A","N/A","No","","","","","","","","","","No","NO","NO","NO","No","","0","400","0.00%","0","0","0.00%","0","0","N Lane Rd","77591",NA,NA,29.384475,-95.002913,0.605,"","100","range",NA,NA
"100 NORTH 10TH STREET WORLAND WY 82401","WASHAWY","WASHAKIE COUNTY JAIL","100 NORTH 10TH STREET","WORLAND","WASHAKIE","WY","82401","10","DEN","DEN","IGSA","IGSA","Yes","Female/Male","A, B, C, D","AS NEEDED","","0","26.06.2008","10.09.1992","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","COUNTY","","","","","","","NOT INSPECTED","DMCP","","","","N/A","N/A","","No","","","","N/A","","No","","","","N/A","N/A","No","","","","","","","","","","No","NO","NO","NO","No","","0","400","0.00%","0","0","0.00%","0","0","N 10th St","82401","Worland","WY",44.016828,-107.95576,0.886,"","100","range",NA,NA
"100 NORTH COURT STREET WESTMINSTER MD 21157","CARROMD","CARROLL COUNTY DETENTION CENTER","100 NORTH COURT STREET","WESTMINSTER","CARROLL","MD","21157","4","BAL","BAL","IGSA","IGSA","Yes","Female/Male","A, B, C, D","AS NEEDED","","0","12.05.2013","03.02.2000","0","0","0","0","0","0","2","5","5","10","5","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","YES","COUNTY","COUNTY (SHERIFF)","COUNTY","05.06.2008","","","$90.37","Pro-bono Platform (Talton)","NOT INSPECTED","DMCP","Over 72","","","N/A","ORSA","NDS","No","Acceptable","Not Rated","01.08.2013","Regular","NDS","No","Acceptable","15.03.2011","","N/A","N/A","No","","","","","Acceptable","","Acceptable","Superior","2007 and 2008 DEFICIENT","Yes","NO","NO","NO","No","","0","400","0.00%","0","0","0.00%","0","0","N Court St","21157","Westminster","MD",39.572766,-76.985991,0.85,"","100","range",NA,NA
"100 NORTH STATELINE AVENUE TEXARKANA AR 71854","TEXARAR","TEXARKANA ARKANSAS POLICE DEPARTMENT","100 NORTH STATELINE AVENUE","TEXARKANA","MILLER","AR","71854","8","NOL","NOL","IGSA","IGSA","Yes","Female/Male","A, B, C, D","AS NEEDED","","0","28.07.2003","23.05.2001","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","NOT INSPECTED","DMCP","","","","N/A","N/A","","No","","","","N/A","","No","","","","N/A","N/A","No","","","","","","","","","","No","NO","NO","NO","No","","0","400","0.00%","0","0","0.00%","0","0","N Stateline Ave","71854","Texarkana","AR",33.431967,-94.043103,0.735,"","930","street",NA,NA
"100 NORTH STATELINE AVENUE, BOX 21 TEXARKANA AR 75502","ARDCTEX","ARKANSAS DEPARTMENT OF CORRECTIONS (TEXARKANA)","100 NORTH STATELINE AVENUE, BOX 21","TEXARKANA","MILLER","AR","75502","8","NOL","KAN","IGSA","IGSA","Yes","Female/Male","A, B, C, D","AS NEEDED","","0","24.05.2004","14.11.2001","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","COUNTY (CORRECTIONS)","","","","","","","NOT INSPECTED","DMCP","","","","N/A","N/A","","No","","","","N/A","","No","","","","N/A","N/A","No","","","","","","","","","","No","NO","NO","NO","No","","0","400","0.00%","0","0","0.00%","0","0",NA,"75502","Hervey","AR",33.498178,-93.777126,0.593,NA,NA,"zip",NA,NA
"100 PRISON ROAD REPRESA CA 95671","CASPSAC","CSP-SACRAMENTO","100 PRISON ROAD","REPRESA","SACRAMENTO","CA","95671","9","SFR","","IGSA","IGSA","Yes","Female/Male","","AS NEEDED","","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","NOT INSPECTED","DMCP","","","","N/A","N/A","","No","","","","N/A","","No","","","","N/A","N/A","No","","","","","","","","","","No","","","","No","","0","400","0.00%","0","0","0.00%","0","0","Prison Rd","95671","Represa","CA",38.687196,-121.161069,0.744,"","300","street",NA,NA
"100 S MAIN ST OSCEOLA IA 50213","CLARKIA","CLARKE COUNTY SHERIFF","100 S MAIN ST","OSCEOLA","CLARKE","IA","50213","8","SPM","OMA","IGSA","IGSA","Yes","Female/Male","A, B, C, D","AS NEEDED","","0","14.11.2002","03.03.2000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","NOT INSPECTED","DMCP","","","","N/A","N/A","","No","","","","N/A","","No","","","","N/A","N/A","No","","","","","","","","","","No","NO","NO","NO","No","","0","400","0.00%","0","0","0.00%","0","0","S Main St","50213","Osceola","IA",41.034904,-93.765671,0.943,"","100","range",NA,NA
"100 S. WASHINGTON ARDMORE OK 73401","CARTEOK","CARTER COUNTY (ARDMORE, OKLAHOMA)","100 S. WASHINGTON","ARDMORE","CARTER","OK","73401","10","DAL","OKC","IGSA","IGSA","Yes","Female/Male","A, B, C, D","AS NEEDED","","0","12.10.2000","02.08.1989","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","COUNTY","","","","","","","NOT INSPECTED","DMCP","Under 72","","","N/A","N/A","","No","","","","N/A","","No","","","","N/A","N/A","No","","","","","","","","","","No","NO","NO","NO","No","","0","400","0.00%","0","0","0.00%","0","0","S Washington St","73401","Ardmore","OK",34.171217,-97.128892,0.878,"","100","range",NA,NA
"100 SOUTH STATE STREET SAC CITY IA 50583","SACCOIA","SAC COUNTY JAIL","100 SOUTH STATE STREET","SAC CITY","SAC","IA","50583","8","SPM","OMA","IGSA","IGSA","Yes","Female/Male","A, B, C, D","AS NEEDED","","0","04.11.2002","22.10.2002","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","NOT INSPECTED","DMCP","","","","N/A","N/A","","No","","","","N/A","","No","","","","N/A","N/A","No","","","","","","","","","","No","NO","NO","NO","No","","0","400","0.00%","0","0","0.00%","0","0","S State St","50583","Sac City","IA",42.421538,-94.988186,0.931,"","100","range",NA,NA
"100 U.S. 40 GREENVILLE IL 62246","BOPGRE","GREENVILLE FEDERAL CORRECTIONAL INSTITUTE","100 U.S. 40","GREENVILLE","BOND","IL","62246","7","CHI","CHI","BOP","BOP","No","Female/Male","A, B, C, D","AS NEEDED","","0","17.04.2005","13.06.1995","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","BOP","","","","","Not ICE Funded","","NOT INSPECTED","BOP","","","","N/A","N/A","","No","","","","N/A","","No","","","","N/A","N/A","No","","","","","","","","","","No","NO","NO","NO","No","","0","400","0.00%","0","0","0.00%","0","0","US Hwy 40","62246","Greenville","IL",38.869678,-89.414136,0.87,"","100","range",NA,NA
"100 W MAIN STREET LA GRANGE KY 40031","OLDHAKY","OLDHAM COUNTY JAIL","100 W MAIN STREET","LA GRANGE","OLDHAM","KY","40031","6","CHI","CHI","IGSA","IGSA","Yes","Female/Male","A, B, C, D","AS NEEDED","","0","02.11.2017","23.12.1997","5","1","1","1","1","0","0","0","0","0","0","1","1","1","1","1","1","1","1","1","2","2","1","1","1","1","1","1","50","301","212","144","48","282","189","129","53","43","29","13","1","1","0","1","0","1","0","0","0","1","0","0","1","1","0","0","0","0","0","1","0","1","YES","COUNTY","COUNTY (JAILER)","COUNTY","07.05.1999","","","$37.73","","AUTHORIZED","DMCP","Over 72","FPBDS","","Annual","ORSA","NDS","No","Acceptable","","05.09.2017","ORSA","NDS","No","Acceptable","30.06.2016","","NDS","ORSA","No","Acceptable","Acceptable","","","","","","","","No","","","","No","","23","400","6.00%","560","209","57.00%","434","7","W Main St","40031","La Grange","KY",38.407364,-85.379567,0.941,"","100","range",NA,NA
"100 WEST CHERRY AVENUE WASHINGTON PA 15301","WASHIPA","WASHINGTON COUNTY","100 WEST CHERRY AVENUE","WASHINGTON","WASHINGTON","PA","15301","3","PHI","PIT","IGSA","IGSA","Yes","Female/Male","A, B, C, D","AS NEEDED","","0","05.09.2005","26.05.1996","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","COUNTY","","","","","","","NOT INSPECTED","DMCP","Under 72","","","N/A","N/A","","No","","","","N/A","","No","","","","N/A","N/A","No","","","","","","","","","","No","NO","NO","NO","No","","0","400","0.00%","0","0","0.00%","0","0","W Cherry Ave","15301","East Washington","PA",40.169713,-80.247789,0.946,"","100","range",NA,NA
"100 WEST LAUREL AVENUE PLENTYWOOD MT 59254","SHERIMT","SHERIDAN COUNTY JAIL","100 WEST LAUREL AVENUE","PLENTYWOOD","SHERIDAN","MT","59254","9","SLC","HEL","IGSA","IGSA","Yes","Female/Male","A, B, C, D","AS NEEDED","","0","07.03.2015","29.09.1991","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","1","0","0","0","7","0","0","0","7","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NO","","COUNTY","","","","","$45.00","","NOT INSPECTED","DMCP","Under 72","","","N/A","Regular","NDS","No","Good","Deficient","08.05.2006","N/A","","No","","","","N/A","N/A","No","","","","","","","","","","No","NO","NO","NO","No","","0","400","0.00%","0","0","0.00%","0","0","W Laurel Ave","59254","Plentywood","MT",48.778202,-104.55742,0.936,"","100","range",NA,NA
"1000 10TH AVENUE. PO BOX 75 SIDNEY NE 69162","CHEYENE","CHEYENNE COUNTY DETENTION CENTER","1000 10TH AVENUE. PO BOX 75","SIDNEY","CHEYENNE","NE","69162","8","SPM","OMA","IGSA","IGSA","Yes","Female/Male","A, B, C, D","AS NEEDED","","0","10.10.2002","27.11.1996","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","NOT INSPECTED","DMCP","","","","N/A","N/A","","No","","","","N/A","","No","","","","N/A","N/A","No","","","","","","","","","","No","NO","NO","NO","No","","0","400","0.00%","0","0","0.00%","0","0",NA,"69162","Sidney","NE",41.161943,-103.066015,0.599,NA,NA,"zip",NA,NA
"1000 55TH STREET KENOSHA WI 53140","KENOSW2","KENOSHA COUNTY PRETRIAL FACILITY","1000 55TH STREET","KENOSHA","KENOSHA","WI","53140","7","CHI","","USMS IGA","USMS IGA","Yes","Female/Male","A, B, C, D","10","0.00%","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","YES","KVNA","COUNTY (SHERIFF)","USM","11.03.2004","","","$70.00","Pro-bono Platform (Talton)","NOT INSPECTED","DMCP","Over 72","","","N/A","Regular","NDS","No","Acceptable","Acceptable","25.04.2013","Regular","NDS","No","Acceptable","26.04.2011","","N/A","N/A","No","","","","","Acceptable","","Acceptable","Acceptable","2007 DEFICIENT","No","NO","NO","NO","No","","0","400","0.00%","0","0","0.00%","0","0","55th St","53140","South Kenosha","WI",42.585212,-87.824755,0.688,"","1100","street",NA,NA
"1000 ACADEMY DRIVE MORGANTOWN PA 19543","ABRXSPA","ABRAXAS ACADEMY DETENTION CENTER","1000 ACADEMY DRIVE","MORGANTOWN","BERKS","PA","19543","3","PHI","BRK","IGSA","JUVENILE","Yes","Female/Male","A, B, C, D","AS NEEDED","","2","04.11.2017","23.05.2014","2","2","3","4","0","0","0","0","0","0","0","3","3","3","3","4","4","4","4","3","3","2","2","2","","147","120","56","2","7","10","3","0","0","3","0","0","1","1","0","1","1","2","2","2","2","0","0","0","1","0","1","1","1","0","0","1","0","0","1","1","1","","","","","","","","b)(4)","","AUTHORIZED","JFRMU","Over 72","","","N/A","N/A","","No","","","","N/A","","No","","","","N/A","N/A","No","","","","","","","","","","No","","","","No","","35","400","9.00%","800","372","102.00%","1207","5","Academy Dr","19543","Morgantown","PA",40.192202,-75.914124,0.943,"","1000","range",NA,NA
"1000 AIR BASE ROAD, PO BOX 1000 POLLOCK LA 71467","BOPPOL","POLLOCK US PENITENTIARY","1000 AIR BASE ROAD, PO BOX 1000","POLLOCK","GRANT","LA","71467","5","NOL","OAK","BOP","BOP","No","Female/Male","A, B, C, D","AS NEEDED","","0","04.04.2007","28.04.1999","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","BOP","","","","","Not ICE Funded","","NOT INSPECTED","BOP","","","","N/A","N/A","","No","","","","N/A","","No","","","","N/A","N/A","No","","","","","","","","","","No","NO","NO","NO","No","","0","400","0.00%","0","0","0.00%","0","0",NA,"71467","Pollock","LA",31.56668,-92.396314,0.6,NA,NA,"zip",NA,NA
"1000 DETENTION ROAD SHELBYVILLE KY 40065","SHELBKY","SHELBY COUNTY DETENTION CENTER","1000 DETENTION ROAD","SHELBYVILLE","SHELBY","KY","40065","6","CHI","","IGSA","IGSA","Yes","Female/Male","A, B, C, D","AS NEEDED","","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","COUNTY","","","","","","","NOT INSPECTED","DMCP","Under 72","","","N/A","Regular","NDS","No","Superior","Acceptable","03.02.2009","Regular","NDS","No","Superior","08.02.2008","","N/A","N/A","No","","","","","","","","","","No","NO","NO","NO","No","","0","400","0.00%","0","0","0.00%","0","0","Detention Rd","40065","Shelbyville","KY",38.218655,-85.220677,0.944,"","1000","range",NA,NA
"1000 JIM HAMMOCK DR. MCRAE GA 31055","BOPRAE","MCRAE CORRECTIONAL FACILITY, CCA","1000 JIM HAMMOCK DR.","MCRAE","TELFAIR","GA","31055","11","ATL","ATL","BOP","BOP","No","Female/Male","A, B, C, D","AS NEEDED","","0","04.02.2014","31.01.2014","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","BOP","","","","","Not ICE Funded","","NOT INSPECTED","BOP","","","","N/A","N/A","","No","","","","N/A","","No","","","","N/A","N/A","No","","","","","","","","","","No","NO","NO","NO","No","","0","400","0.00%","0","0","0.00%","0","0","Jim Hammock Dr","31055","McRae","GA",32.051719,-82.874223,0.927,"","1000","range",NA,NA
"1000 NEW YORK ALAMOGORDO NM 88310","OTERONM","OTERO COUNTY DETENTION","1000 NEW YORK","ALAMOGORDO","OTERO","NM","88310","10","ELP","EPC","IGSA","IGSA","Yes","Male","B, C, D","AS NEEDED","","0","07.02.2017","24.01.2003","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","","1","1","20","0","1","20","6","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NO","","COUNTY","COUNTY","24.05.2010","","","$78.88","","NOT INSPECTED","DMCP","Under 72","FPBDS","","N/A","ORSA","NDS","No","Acceptable","","10.06.2016","N/A","","No","","","","N/A","N/A","No","","Acceptable","","","","","","","","No","NO","NO","NO","No","","0","400","0.00%","0","4","1.00%","1","1","New York Ave","88310","Alamogordo","NM",32.899779,-105.958996,0.856,"","1000","range",NA,NA
"1000 RIVER ROAD HOPEWELL VA 23860","RSREGVA","RIVERSIDE REGIONAL JAIL","1000 RIVER ROAD","HOPEWELL","HOPEWELL CITY","VA","23860","4","WAS","WAS","USMS IGA","USMS IGA","Yes","Female/Male","A, B, C, D","AS NEEDED","","0","25.09.2014","03.11.1997","0","0","0","0","0","0","0","0","0","0","23","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","COUNTY (JAILER)","","07.04.1999","","","$66.36","","NOT INSPECTED","DMCP","Under 72","Local Standards","","N/A","Regular","NDS","No","Superior","Deficient","27.08.2009","Regular","NDS","No","Superior","21.08.2008","","N/A","N/A","No","","","","","","","","","2008 DEFICIENT","Yes","NO","NO","NO","No","","0","400","0.00%","0","0","0.00%","0","0","River Rd","23860","Hopewell","VA",37.298783,-77.333985,0.87,"","1000","range",NA,NA
"1000 S. EL PASO STREET EL PASO TX 79901","PDNHOLD","PDN HOLD ROOM","1000 S. EL PASO STREET","EL PASO","EL PASO","TX","79901","5","ELP","EPC","Other","HOLD","Yes","Female/Male","A, B, C, D","AS NEEDED","","0","17.05.2013","13.07.2012","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","NOT INSPECTED","DMCP","Under 72","","","N/A","N/A","","No","","","","N/A","","No","","","","N/A","N/A","No","","","","","","","","","","No","NO","NO","NO","No","","0","400","0.00%","0","0","0.00%","0","0","S el Paso St","79901","El Paso","TX",31.749647,-106.486815,0.931,"","1000","range",NA,NA
"1000 UNIVERSITY DRIVE S.W. WASECA MN 56093","BOPWAS","WASECA FEDERAL CORRECTIONAL INSTITUTE","1000 UNIVERSITY DRIVE S.W.","WASECA","WASECA","MN","56093","8","SPM","SPM","BOP","BOP","No","Female/Male","A, B, C, D","AS NEEDED","","0","13.03.2005","02.09.1998","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","BOP","","","","","Not ICE Funded","","NOT INSPECTED","BOP","","","","N/A","N/A","","No","","","","N/A","","No","","","","N/A","N/A","No","","","","","","","","","","No","NO","NO","NO","No","","0","400","0.00%","0","0","0.00%","0","0","University Dr SW","56093","Waseca","MN",44.065826,-93.526787,0.925,"","1000","range",NA,NA
"1000 WARD STREET MARTINEZ CA 94553","CONCOCA","CONTRA COSTA COUNTY JAIL","1000 WARD STREET","MARTINEZ","CONTRA COSTA","CA","94553","9","SFR","SFR","USMS IGA","USMS IGA","Yes","Female/Male","A, B, C, D","AS NEEDED","","0","30.10.2017","06.04.2010","2","0","0","1","1","0","2","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","2","4","4","42","119","43","1","4","85","19","1","1","10","2","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NO","","COUNTY","","","","","$85.00","","NOT INSPECTED","DMCP","Over 72","FPBDS","","N/A","N/A","","No","","","","N/A","","No","","","","N/A","N/A","No","","","","","","","","","","No","NO","NO","NO","No","","2","400","1.00%","46","21","6.00%","45","11","Ward St","94553","Martinez","CA",38.018321,-122.133084,0.941,"","1000","range",NA,NA
